site_code	in_cosd	in_hes	source
RB812	FALSE	TRUE	HES only
RB901	TRUE	TRUE	both
RB902	FALSE	TRUE	HES only
RB903	TRUE	TRUE	both
RB904	FALSE	TRUE	HES only
RB905	TRUE	TRUE	both
RB906	FALSE	TRUE	HES only
RB907	FALSE	TRUE	HES only
RB908	FALSE	TRUE	HES only
RB909	FALSE	TRUE	HES only
RB910	FALSE	TRUE	HES only
RB911	TRUE	TRUE	both
RB912	FALSE	TRUE	HES only
RB913	TRUE	FALSE	COSD only
RB920	TRUE	FALSE	COSD only
RC001	TRUE	TRUE	both
RC002	FALSE	TRUE	HES only
RC003	TRUE	TRUE	both
RC004	FALSE	TRUE	HES only
RC005	TRUE	TRUE	both
RC006	TRUE	TRUE	both
RC007	TRUE	TRUE	both
RC008	FALSE	TRUE	HES only
RC009	FALSE	TRUE	HES only
RC010	TRUE	TRUE	both
RC011	FALSE	TRUE	HES only
RC012	TRUE	TRUE	both
RC017	TRUE	FALSE	COSD only
RC201	FALSE	TRUE	HES only
RC202	FALSE	TRUE	HES only
RC203	FALSE	TRUE	HES only
RC204	FALSE	TRUE	HES only
RC205	TRUE	TRUE	both
RC206	FALSE	TRUE	HES only
RC207	FALSE	TRUE	HES only
RC208	TRUE	TRUE	both
RC209	TRUE	TRUE	both
RC210	TRUE	TRUE	both
RC211	FALSE	TRUE	HES only
RC212	TRUE	TRUE	both
RC216	TRUE	FALSE	COSD only
RC220	TRUE	FALSE	COSD only
RD201	TRUE	TRUE	both
RD202	FALSE	TRUE	HES only
RD203	FALSE	TRUE	HES only
RD204	TRUE	TRUE	both
RD205	FALSE	TRUE	HES only
RD206	TRUE	TRUE	both
RD207	FALSE	TRUE	HES only
RD208	TRUE	TRUE	both
RD209	FALSE	TRUE	HES only
RD210	FALSE	TRUE	HES only
RD211	FALSE	TRUE	HES only
RD212	FALSE	TRUE	HES only
RD219	TRUE	FALSE	COSD only
RD301	FALSE	TRUE	HES only
RD302	FALSE	TRUE	HES only
RD303	FALSE	TRUE	HES only
RD304	FALSE	TRUE	HES only
RD305	TRUE	TRUE	both
RD306	FALSE	TRUE	HES only
RD307	FALSE	TRUE	HES only
RD308	TRUE	TRUE	both
RD309	TRUE	TRUE	both
RD310	FALSE	TRUE	HES only
RD311	FALSE	TRUE	HES only
RD312	FALSE	TRUE	HES only
RD319	TRUE	FALSE	COSD only
RD501	FALSE	TRUE	HES only
RD502	FALSE	TRUE	HES only
RD503	TRUE	TRUE	both
RD504	TRUE	TRUE	both
RD505	FALSE	TRUE	HES only
RD506	TRUE	TRUE	both
RD507	FALSE	TRUE	HES only
RD508	FALSE	TRUE	HES only
RD509	FALSE	TRUE	HES only
RD510	FALSE	TRUE	HES only
RD511	FALSE	TRUE	HES only
RD512	TRUE	TRUE	both
RD519	TRUE	FALSE	COSD only
RD601	TRUE	TRUE	both
RD602	FALSE	TRUE	HES only
RD603	FALSE	TRUE	HES only
RD604	FALSE	TRUE	HES only
RD605	TRUE	TRUE	both
RD606	TRUE	TRUE	both
RD607	FALSE	TRUE	HES only
RD608	TRUE	TRUE	both
RD609	FALSE	TRUE	HES only
RD610	TRUE	TRUE	both
RD611	FALSE	TRUE	HES only
RD612	FALSE	TRUE	HES only
RD614	TRUE	FALSE	COSD only
RD619	TRUE	FALSE	COSD only
RD620	TRUE	FALSE	COSD only
RD901	TRUE	TRUE	both
RD902	FALSE	TRUE	HES only
RD903	FALSE	TRUE	HES only
RD904	FALSE	TRUE	HES only
RD905	FALSE	TRUE	HES only
RD906	FALSE	TRUE	HES only
RD907	FALSE	TRUE	HES only
RD908	FALSE	TRUE	HES only
RD909	FALSE	TRUE	HES only
RD910	TRUE	TRUE	both
RD911	FALSE	TRUE	HES only
RD912	FALSE	TRUE	HES only
RD913	TRUE	FALSE	COSD only
RD915	TRUE	FALSE	COSD only
RD917	TRUE	FALSE	COSD only
RD918	TRUE	FALSE	COSD only
RE001	FALSE	TRUE	HES only
RE002	FALSE	TRUE	HES only
RE003	FALSE	TRUE	HES only
RE004	FALSE	TRUE	HES only
RE005	TRUE	TRUE	both
RE006	FALSE	TRUE	HES only
RE007	TRUE	TRUE	both
RE008	TRUE	TRUE	both
RE009	FALSE	TRUE	HES only
RE010	TRUE	TRUE	both
RE011	FALSE	TRUE	HES only
RE012	FALSE	TRUE	HES only
RE014	TRUE	FALSE	COSD only
RE017	TRUE	FALSE	COSD only
RE018	TRUE	FALSE	COSD only
RE201	TRUE	TRUE	both
RE202	TRUE	TRUE	both
RE203	FALSE	TRUE	HES only
RE204	TRUE	TRUE	both
RE205	FALSE	TRUE	HES only
RE206	TRUE	TRUE	both
RE207	FALSE	TRUE	HES only
RE208	FALSE	TRUE	HES only
RE209	TRUE	TRUE	both
RE210	TRUE	TRUE	both
RE211	TRUE	TRUE	both
RE212	FALSE	TRUE	HES only
RE219	TRUE	FALSE	COSD only
RE401	FALSE	TRUE	HES only
RE402	FALSE	TRUE	HES only
RE403	FALSE	TRUE	HES only
RE404	FALSE	TRUE	HES only
RE405	FALSE	TRUE	HES only
RE406	FALSE	TRUE	HES only
RE407	TRUE	TRUE	both
RE408	FALSE	TRUE	HES only
RE409	FALSE	TRUE	HES only
RE410	FALSE	TRUE	HES only
RE411	TRUE	TRUE	both
RE412	FALSE	TRUE	HES only
RE415	TRUE	FALSE	COSD only
RE416	TRUE	FALSE	COSD only
RE417	TRUE	FALSE	COSD only
RE418	TRUE	FALSE	COSD only
RE501	FALSE	TRUE	HES only
RE502	FALSE	TRUE	HES only
RE503	FALSE	TRUE	HES only
RE504	FALSE	TRUE	HES only
RE505	FALSE	TRUE	HES only
RE506	FALSE	TRUE	HES only
RE507	FALSE	TRUE	HES only
RE508	FALSE	TRUE	HES only
RE509	FALSE	TRUE	HES only
RE510	FALSE	TRUE	HES only
RE511	FALSE	TRUE	HES only
RE512	FALSE	TRUE	HES only
RE514	TRUE	FALSE	COSD only
RE518	TRUE	FALSE	COSD only
RF201	TRUE	TRUE	both
RF202	FALSE	TRUE	HES only
RF203	FALSE	TRUE	HES only
RF204	FALSE	TRUE	HES only
RF205	FALSE	TRUE	HES only
RF206	FALSE	TRUE	HES only
RF207	FALSE	TRUE	HES only
RF208	FALSE	TRUE	HES only
RF209	FALSE	TRUE	HES only
RF210	FALSE	TRUE	HES only
RF211	FALSE	TRUE	HES only
RF212	FALSE	TRUE	HES only
RF216	TRUE	FALSE	COSD only
RF220	TRUE	FALSE	COSD only
RF701	FALSE	TRUE	HES only
RF702	TRUE	TRUE	both
RF703	FALSE	TRUE	HES only
RF704	FALSE	TRUE	HES only
RF705	TRUE	TRUE	both
RF706	FALSE	TRUE	HES only
RF707	FALSE	TRUE	HES only
RF708	FALSE	TRUE	HES only
RF709	FALSE	TRUE	HES only
RF710	FALSE	TRUE	HES only
RF711	FALSE	TRUE	HES only
RF712	FALSE	TRUE	HES only
RF801	TRUE	TRUE	both
RF802	FALSE	TRUE	HES only
RF803	FALSE	TRUE	HES only
RF804	FALSE	TRUE	HES only
RF805	FALSE	TRUE	HES only
RF806	FALSE	TRUE	HES only
RF807	FALSE	TRUE	HES only
RF808	TRUE	TRUE	both
RF809	FALSE	TRUE	HES only
RF810	FALSE	TRUE	HES only
RF811	FALSE	TRUE	HES only
RF812	FALSE	TRUE	HES only
RG001	TRUE	TRUE	both
RG002	FALSE	TRUE	HES only
RG003	TRUE	TRUE	both
RG004	TRUE	TRUE	both
RG005	FALSE	TRUE	HES only
RG006	FALSE	TRUE	HES only
RG007	FALSE	TRUE	HES only
RG008	FALSE	TRUE	HES only
RG009	FALSE	TRUE	HES only
RG010	TRUE	TRUE	both
RG011	TRUE	TRUE	both
RG012	FALSE	TRUE	HES only
RG014	TRUE	FALSE	COSD only
RG015	TRUE	FALSE	COSD only
RG020	TRUE	FALSE	COSD only
RG201	FALSE	TRUE	HES only
RG202	FALSE	TRUE	HES only
RG203	FALSE	TRUE	HES only
RG204	FALSE	TRUE	HES only
RG205	TRUE	TRUE	both
RG206	TRUE	TRUE	both
RG207	FALSE	TRUE	HES only
RG208	TRUE	TRUE	both
RG209	FALSE	TRUE	HES only
RG210	FALSE	TRUE	HES only
RG211	FALSE	TRUE	HES only
RG212	FALSE	TRUE	HES only
RG217	TRUE	FALSE	COSD only
RG220	TRUE	FALSE	COSD only
RG301	TRUE	TRUE	both
RG302	FALSE	TRUE	HES only
RG303	FALSE	TRUE	HES only
RG304	FALSE	TRUE	HES only
RG305	FALSE	TRUE	HES only
RG306	FALSE	TRUE	HES only
RG307	FALSE	TRUE	HES only
RG308	FALSE	TRUE	HES only
RG309	FALSE	TRUE	HES only
RG310	FALSE	TRUE	HES only
RG311	FALSE	TRUE	HES only
RG312	FALSE	TRUE	HES only
RG314	TRUE	FALSE	COSD only
RG319	TRUE	FALSE	COSD only
RG701	FALSE	TRUE	HES only
RG702	FALSE	TRUE	HES only
RG703	FALSE	TRUE	HES only
RG704	FALSE	TRUE	HES only
RG705	TRUE	TRUE	both
RG706	FALSE	TRUE	HES only
RG707	FALSE	TRUE	HES only
RG708	FALSE	TRUE	HES only
RG709	FALSE	TRUE	HES only
RG710	FALSE	TRUE	HES only
RG711	FALSE	TRUE	HES only
RG712	TRUE	TRUE	both
RG713	TRUE	FALSE	COSD only
RG717	TRUE	FALSE	COSD only
RG901	FALSE	TRUE	HES only
RG902	FALSE	TRUE	HES only
RG903	FALSE	TRUE	HES only
RG904	FALSE	TRUE	HES only
RG905	TRUE	TRUE	both
RG906	FALSE	TRUE	HES only
RG907	FALSE	TRUE	HES only
RG908	FALSE	TRUE	HES only
RG909	FALSE	TRUE	HES only
RG910	TRUE	TRUE	both
RG911	FALSE	TRUE	HES only
RG912	FALSE	TRUE	HES only
RG920	TRUE	FALSE	COSD only
RH001	FALSE	TRUE	HES only
RH002	FALSE	TRUE	HES only
RH003	FALSE	TRUE	HES only
RH004	TRUE	TRUE	both
RH005	FALSE	TRUE	HES only
RH006	FALSE	TRUE	HES only
RH007	FALSE	TRUE	HES only
RH008	FALSE	TRUE	HES only
RH009	FALSE	TRUE	HES only
RH010	TRUE	TRUE	both
RH011	FALSE	TRUE	HES only
RH012	FALSE	TRUE	HES only
RH013	TRUE	FALSE	COSD only
RH016	TRUE	FALSE	COSD only
RH020	TRUE	FALSE	COSD only
RH701	FALSE	TRUE	HES only
RH702	TRUE	TRUE	both
RH703	FALSE	TRUE	HES only
RH704	TRUE	TRUE	both
RH705	FALSE	TRUE	HES only
RH706	FALSE	TRUE	HES only
RH707	FALSE	TRUE	HES only
RH708	TRUE	TRUE	both
RH709	FALSE	TRUE	HES only
RH710	FALSE	TRUE	HES only
RH711	TRUE	TRUE	both
RH712	FALSE	TRUE	HES only
RH801	FALSE	TRUE	HES only
RH802	FALSE	TRUE	HES only
RH803	FALSE	TRUE	HES only
RH804	TRUE	TRUE	both
RH805	FALSE	TRUE	HES only
RH806	TRUE	TRUE	both
RH807	FALSE	TRUE	HES only
RH808	FALSE	TRUE	HES only
RH809	TRUE	TRUE	both
RH810	FALSE	TRUE	HES only
RH811	TRUE	TRUE	both
RH812	FALSE	TRUE	HES only
RH814	TRUE	FALSE	COSD only
RH815	TRUE	FALSE	COSD only
RI301	FALSE	TRUE	HES only
RI302	TRUE	TRUE	both
RI303	FALSE	TRUE	HES only
RI304	FALSE	TRUE	HES only
RI305	TRUE	TRUE	both
RI306	FALSE	TRUE	HES only
RI307	FALSE	TRUE	HES only
RI308	TRUE	TRUE	both
RI309	TRUE	TRUE	both
RI310	FALSE	TRUE	HES only
RI311	FALSE	TRUE	HES only
RI312	TRUE	TRUE	both
RI320	TRUE	FALSE	COSD only
RI801	FALSE	TRUE	HES only
RI802	FALSE	TRUE	HES only
RI803	FALSE	TRUE	HES only
RI804	FALSE	TRUE	HES only
RI805	FALSE	TRUE	HES only
RI806	FALSE	TRUE	HES only
RI807	FALSE	TRUE	HES only
RI808	TRUE	TRUE	both
RI809	FALSE	TRUE	HES only
RI810	FALSE	TRUE	HES only
RI811	FALSE	TRUE	HES only
RI812	FALSE	TRUE	HES only
RI813	TRUE	FALSE	COSD only
RI815	TRUE	FALSE	COSD only
RI816	TRUE	FALSE	COSD only
RI818	TRUE	FALSE	COSD only
RI820	TRUE	FALSE	COSD only
RI901	FALSE	TRUE	HES only
RI902	FALSE	TRUE	HES only
RI903	FALSE	TRUE	HES only
RI904	FALSE	TRUE	HES only
RI905	FALSE	TRUE	HES only
RI906	FALSE	TRUE	HES only
RI907	TRUE	TRUE	both
RI908	TRUE	TRUE	both
RI909	FALSE	TRUE	HES only
RI910	FALSE	TRUE	HES only
RI911	TRUE	TRUE	both
RI912	FALSE	TRUE	HES only
RJ001	FALSE	TRUE	HES only
RJ002	FALSE	TRUE	HES only
RJ003	FALSE	TRUE	HES only
RJ004	FALSE	TRUE	HES only
RJ005	FALSE	TRUE	HES only
RJ006	FALSE	TRUE	HES only
RJ007	FALSE	TRUE	HES only
RJ008	FALSE	TRUE	HES only
RJ009	FALSE	TRUE	HES only
RJ010	FALSE	TRUE	HES only
RJ011	FALSE	TRUE	HES only
RJ012	FALSE	TRUE	HES only
RJ013	TRUE	FALSE	COSD only
RJ016	TRUE	FALSE	COSD only
RJ017	TRUE	FALSE	COSD only
RJ020	TRUE	FALSE	COSD only
RJ101	TRUE	TRUE	both
RJ102	TRUE	TRUE	both
RJ103	FALSE	TRUE	HES only
RJ104	TRUE	TRUE	both
RJ105	FALSE	TRUE	HES only
RJ106	FALSE	TRUE	HES only
RJ107	FALSE	TRUE	HES only
RJ108	FALSE	TRUE	HES only
RJ109	FALSE	TRUE	HES only
RJ110	TRUE	TRUE	both
RJ111	TRUE	TRUE	both
RJ112	FALSE	TRUE	HES only
RJ117	TRUE	FALSE	COSD only
RJ120	TRUE	FALSE	COSD only
RJ201	FALSE	TRUE	HES only
RJ202	FALSE	TRUE	HES only
RJ203	FALSE	TRUE	HES only
RJ204	FALSE	TRUE	HES only
RJ205	FALSE	TRUE	HES only
RJ206	TRUE	TRUE	both
RJ207	FALSE	TRUE	HES only
RJ208	FALSE	TRUE	HES only
RJ209	FALSE	TRUE	HES only
RJ210	TRUE	TRUE	both
RJ211	FALSE	TRUE	HES only
RJ212	FALSE	TRUE	HES only
RJ215	TRUE	FALSE	COSD only
RJ301	TRUE	TRUE	both
RJ302	TRUE	TRUE	both
RJ303	TRUE	TRUE	both
RJ304	FALSE	TRUE	HES only
RJ305	FALSE	TRUE	HES only
RJ306	FALSE	TRUE	HES only
RJ307	TRUE	TRUE	both
RJ308	TRUE	TRUE	both
RJ309	FALSE	TRUE	HES only
RJ310	FALSE	TRUE	HES only
RJ311	FALSE	TRUE	HES only
RJ312	TRUE	TRUE	both
RJ315	TRUE	FALSE	COSD only
RJ318	TRUE	FALSE	COSD only
RJ601	FALSE	TRUE	HES only
RJ602	FALSE	TRUE	HES only
RJ603	FALSE	TRUE	HES only
RJ604	FALSE	TRUE	HES only
RJ605	TRUE	TRUE	both
RJ606	TRUE	TRUE	both
RJ607	FALSE	TRUE	HES only
RJ608	FALSE	TRUE	HES only
RJ609	FALSE	TRUE	HES only
RJ610	TRUE	TRUE	both
RJ611	FALSE	TRUE	HES only
RJ612	FALSE	TRUE	HES only
RJ801	FALSE	TRUE	HES only
RJ802	FALSE	TRUE	HES only
RJ803	FALSE	TRUE	HES only
RJ804	FALSE	TRUE	HES only
RJ805	TRUE	TRUE	both
RJ806	FALSE	TRUE	HES only
RJ807	FALSE	TRUE	HES only
RJ808	FALSE	TRUE	HES only
RJ809	FALSE	TRUE	HES only
RJ810	FALSE	TRUE	HES only
RJ811	FALSE	TRUE	HES only
RJ812	FALSE	TRUE	HES only
RJ815	TRUE	FALSE	COSD only
RJ816	TRUE	FALSE	COSD only
RJ818	TRUE	FALSE	COSD only
RJ820	TRUE	FALSE	COSD only
RK301	FALSE	TRUE	HES only
RK302	FALSE	TRUE	HES only
RK303	FALSE	TRUE	HES only
RK304	FALSE	TRUE	HES only
RK305	FALSE	TRUE	HES only
RK306	TRUE	TRUE	both
RK307	TRUE	TRUE	both
RK308	FALSE	TRUE	HES only
RK309	FALSE	TRUE	HES only
RK310	FALSE	TRUE	HES only
RK311	FALSE	TRUE	HES only
RK312	FALSE	TRUE	HES only
RK317	TRUE	FALSE	COSD only
RK318	TRUE	FALSE	COSD only
RK319	TRUE	FALSE	COSD only
RK401	FALSE	TRUE	HES only
RK402	FALSE	TRUE	HES only
RK403	TRUE	TRUE	both
RK404	FALSE	TRUE	HES only
RK405	FALSE	TRUE	HES only
RK406	FALSE	TRUE	HES only
RK407	TRUE	TRUE	both
RK408	TRUE	TRUE	both
RK409	FALSE	TRUE	HES only
RK410	FALSE	TRUE	HES only
RK411	FALSE	TRUE	HES only
RK412	FALSE	TRUE	HES only
RK415	TRUE	FALSE	COSD only
RK417	TRUE	FALSE	COSD only
RK501	FALSE	TRUE	HES only
RK502	TRUE	TRUE	both
RK503	FALSE	TRUE	HES only
RK504	TRUE	TRUE	both
RK505	FALSE	TRUE	HES only
RK506	FALSE	TRUE	HES only
RK507	TRUE	TRUE	both
RK508	TRUE	TRUE	both
RK509	FALSE	TRUE	HES only
RK510	FALSE	TRUE	HES only
RK511	FALSE	TRUE	HES only
RK512	FALSE	TRUE	HES only
RK701	FALSE	TRUE	HES only
RK702	FALSE	TRUE	HES only
RK703	FALSE	TRUE	HES only
RK704	FALSE	TRUE	HES only
RK705	FALSE	TRUE	HES only
RK706	TRUE	TRUE	both
RK707	FALSE	TRUE	HES only
RK708	TRUE	TRUE	both
RK709	TRUE	TRUE	both
RK710	FALSE	TRUE	HES only
RK711	FALSE	TRUE	HES only
RK712	FALSE	TRUE	HES only
RK715	TRUE	FALSE	COSD only
RK716	TRUE	FALSE	COSD only
RK719	TRUE	FALSE	COSD only
RK720	TRUE	FALSE	COSD only
RK801	FALSE	TRUE	HES only
RK802	FALSE	TRUE	HES only
RK803	FALSE	TRUE	HES only
RK804	TRUE	TRUE	both
RK805	TRUE	TRUE	both
RK806	TRUE	TRUE	both
RK807	FALSE	TRUE	HES only
RK808	TRUE	TRUE	both
RK809	FALSE	TRUE	HES only
RK810	FALSE	TRUE	HES only
RK811	FALSE	TRUE	HES only
RK812	FALSE	TRUE	HES only
RK814	TRUE	FALSE	COSD only
RK818	TRUE	FALSE	COSD only
RK819	TRUE	FALSE	COSD only
RK820	TRUE	FALSE	COSD only
RL101	FALSE	TRUE	HES only
RL102	FALSE	TRUE	HES only
RL103	TRUE	TRUE	both
RL104	FALSE	TRUE	HES only
RL105	FALSE	TRUE	HES only
RL106	FALSE	TRUE	HES only
RL107	FALSE	TRUE	HES only
RL108	FALSE	TRUE	HES only
RL109	FALSE	TRUE	HES only
RL110	FALSE	TRUE	HES only
RL111	FALSE	TRUE	HES only
RL112	FALSE	TRUE	HES only
RL116	TRUE	FALSE	COSD only
RL301	FALSE	TRUE	HES only
RL302	FALSE	TRUE	HES only
RL303	TRUE	TRUE	both
RL304	FALSE	TRUE	HES only
RL305	FALSE	TRUE	HES only
RL306	TRUE	TRUE	both
RL307	FALSE	TRUE	HES only
RL308	TRUE	TRUE	both
RL309	FALSE	TRUE	HES only
RL310	FALSE	TRUE	HES only
RL311	FALSE	TRUE	HES only
RL312	TRUE	TRUE	both
RL313	TRUE	FALSE	COSD only
RL401	FALSE	TRUE	HES only
RL402	FALSE	TRUE	HES only
RL403	TRUE	TRUE	both
RL404	TRUE	TRUE	both
RL405	FALSE	TRUE	HES only
RL406	FALSE	TRUE	HES only
RL407	FALSE	TRUE	HES only
RL408	FALSE	TRUE	HES only
RL409	TRUE	TRUE	both
RL410	FALSE	TRUE	HES only
RL411	TRUE	TRUE	both
RL412	TRUE	TRUE	both
RL413	TRUE	FALSE	COSD only
RL419	TRUE	FALSE	COSD only
RL420	TRUE	FALSE	COSD only
RL601	FALSE	TRUE	HES only
RL602	TRUE	TRUE	both
RL603	FALSE	TRUE	HES only
RL604	FALSE	TRUE	HES only
RL605	FALSE	TRUE	HES only
RL606	FALSE	TRUE	HES only
RL607	FALSE	TRUE	HES only
RL608	TRUE	TRUE	both
RL609	FALSE	TRUE	HES only
RL610	FALSE	TRUE	HES only
RL611	TRUE	TRUE	both
RL612	FALSE	TRUE	HES only
RL619	TRUE	FALSE	COSD only
RL620	TRUE	FALSE	COSD only
RM001	FALSE	TRUE	HES only
RM002	TRUE	TRUE	both
RM003	FALSE	TRUE	HES only
RM004	FALSE	TRUE	HES only
RM005	TRUE	TRUE	both
RM006	FALSE	TRUE	HES only
RM007	FALSE	TRUE	HES only
RM008	TRUE	TRUE	both
RM009	FALSE	TRUE	HES only
RM010	FALSE	TRUE	HES only
RM011	TRUE	TRUE	both
RM012	TRUE	TRUE	both
RM013	TRUE	FALSE	COSD only
RM015	TRUE	FALSE	COSD only
RM017	TRUE	FALSE	COSD only
RM101	FALSE	TRUE	HES only
RM102	TRUE	TRUE	both
RM103	TRUE	TRUE	both
RM104	FALSE	TRUE	HES only
RM105	TRUE	TRUE	both
RM106	FALSE	TRUE	HES only
RM107	FALSE	TRUE	HES only
RM108	FALSE	TRUE	HES only
RM109	TRUE	TRUE	both
RM110	FALSE	TRUE	HES only
RM111	FALSE	TRUE	HES only
RM112	FALSE	TRUE	HES only
RM113	TRUE	FALSE	COSD only
RM116	TRUE	FALSE	COSD only
RM118	TRUE	FALSE	COSD only
RM201	FALSE	TRUE	HES only
RM202	FALSE	TRUE	HES only
RM203	FALSE	TRUE	HES only
RM204	FALSE	TRUE	HES only
