"site_code","name","parent_trust","trust_is_prefix","parent_from_ods","status","is_hospital_site","record_class","primary_role","predecessor","found"
"NTC02",NA,"NTC",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"NTH11","LOURDES HOSPITAL","NTH",TRUE,TRUE,"Inactive",FALSE,"RC2","RO176",NA,TRUE
"NTP11","PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON","NTP",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NTPAD","PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH","NTP",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NTY37","ST HUGH'S HOSPITAL","NTY",TRUE,FALSE,"Inactive",FALSE,"RC2","RO176",NA,TRUE
"NTY70",NA,"NTY",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"NTYD5","WOODLANDS HOSPITAL","NTY",TRUE,FALSE,"Inactive",FALSE,"RC2","RO176",NA,TRUE
"NV10O","INHEALTH COMMUNITY CLINIC - ROMFORD","NV1",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NV11E","INHEALTH - JARVIS BREAST CENTRE","NV1",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NV125","SHIRLEY OAKS HOSPITAL","NV1",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NV14O","INHEALTH - BICESTER COMMUNITY HEALTH CLINIC","NV1",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NV1G2","RIVERS HOSPITAL","NV1",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NV1L8","OXFORDSHIRE COMMUNITY ENDOSCOPY SERVICE","NV1",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NV302","CIRCLE BATH HOSPITAL","NV3",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NV313","CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE","NV3",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC01","ASHTEAD HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC02","THE BERKSHIRE INDEPENDENT HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC05","EUXTON HALL HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC07","FULWOOD HALL HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC0R","TEES VALLEY HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC11","NORTH DOWNS HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC13","OAKS HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC15","PINEHILL HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC18","SPRINGFIELD HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC27","BOSTON WEST HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC29","COBALT HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC35","TEES VALLEY TREATMENT CENTRE","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVC40","WOODTHORPE HOSPITAL","NVC",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NVM02","EPSOM DAY SURGERY LIMITED","NVM",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NW614","LEADERS ON ONCOLOGY (LOC)","NW6",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NYG01","SUSSEX COMMUNITY DERMATOLOGY SERVICE (HOVE)","NYG",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NYW02","ASPEN - PARKSIDE HOSPITAL","NYW",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"R0A01","MANCHESTER UNIVERSITY HOSPITAL NHS FT (HQ)","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A02","MANCHESTER ROYAL INFIRMARY","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A04","MANCHESTER ROYAL EYE HOSPITAL","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A05","ST MARY'S HOSPITAL","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A07","WYTHENSHAWE HOSPITAL","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A08","WITHINGTON COMMUNITY HOSPITAL","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A09","TRAFFORD GENERAL HOSPITAL","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A66","NORTH MANCHESTER GENERAL HOSPITAL","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A69","ROCHDALE INFIRMARY","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0A84","BLACKPOOL VICTORIA HOSPITAL","R0A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0B01","SUNDERLAND ROYAL HOSPITAL","R0B",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R0B0B","DURHAM DIAGNOSTIC & TREATMENT CENTRE","R0B",TRUE,TRUE,"Active",TRUE,"RC2","RO198","RLNDC",TRUE
"R0B0Q","SOUTH TYNESIDE DISTRICT HOSPITAL","R0B",TRUE,TRUE,"Active",TRUE,"RC2","RO198","RLNGT",TRUE
"R0D01","POOLE HOSPITAL","R0D",TRUE,TRUE,"Active",TRUE,"RC2","RO198","RDZ16",TRUE
"R0D02","ROYAL BOURNEMOUTH HOSPITAL","R0D",TRUE,TRUE,"Active",TRUE,"RC2","RO198","RDZ00",TRUE
"R1A02","QUEEN ELIZABETH HOSPITAL","R1A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1ADP","WORCESTERSHIRE ROYAL HOSPITAL","R1A",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1C40","SOUTHAMPTON GENERAL HOSPITAL","R1C",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1F01","ST MARY'S HOSPITAL","R1F",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1H12","THE ROYAL LONDON HOSPITAL","R1H",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1HKH","WHIPPS CROSS UNIVERSITY HOSPITAL","R1H",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1HM0","ST BARTHOLOMEW'S HOSPITAL","R1H",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1HNH","NEWHAM GENERAL HOSPITAL","R1H",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1J03","CIRENCESTER LOCALITY OFFICE","R1J",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1K01","NORTHWICK PARK HOSPITAL","R1K",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1K02","CENTRAL MIDDLESEX HOSPITAL","R1K",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1K03","ST MARKS HOSPITAL","R1K",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"R1K04","EALING HOSPITAL","R1K",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA012",NA,"RA0",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"RA201","ROYAL SURREY COUNTY HOSPITAL","RA2",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA245","FRIMLEY PARK HOSPITAL","RA2",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA301","WESTON GENERAL HOSPITAL","RA3",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA430","YEOVIL DISTRICT HOSPITAL","RA4",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA700",NA,"RA7",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"RA701","BRISTOL ROYAL INFIRMARY","RA7",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA703","BRISTOL HOMEOPATHIC HOSPITAL","RA7",TRUE,TRUE,"Inactive",TRUE,"RC2","RO198",NA,TRUE
"RA707","ST MICHAEL'S HOSPITAL","RA7",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA710","BRISTOL HAEMATOLOGY & ONCOLOGY CENTRE","RA7",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA7C2","WESTON GENERAL HOSPITAL","RA7",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA7PH","UH BRISTOL PRIVATE HOSPITALS (NHS PROVIDED BEDS)","RA7",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RA901","TORBAY HOSPITAL","RA9",TRUE,TRUE,"Active",TRUE,"RC2","RO198","RA902",TRUE
"RAE01","BRADFORD ROYAL INFIRMARY","RAE",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAE02","BRADFORD ROYAL INFIRMARY WOMEN'S UNIT","RAE",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAE05","ST LUKES HOSPITAL","RAE",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAJ01","SOUTHEND HOSPITAL","RAJ",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAJ12","BASILDON HOSPITAL","RAJ",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAJ32","MID ESSEX HOSPITAL","RAJ",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAJ55","EASTWOOD ENDOSCOPY CENTRE","RAJ",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAJ74","COLCHESTER GENERAL HOSPITAL","RAJ",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAL01","ROYAL FREE HOSPITAL","RAL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAL03",NA,"RAL",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"RAL24","WELLINGTON HOSPITAL","RAL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAL26","BARNET HOSPITAL","RAL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAL27","NORTH MIDDLESEX HOSPITAL","RAL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RALC7","CHASE FARM HOSPITAL","RAL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RALG1","CENTRAL AND EAST LONDON BREAST SCREENING SERVICE","RAL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RALRA","EDGWARE COMMUNITY HOSPITAL","RAL",TRUE,TRUE,"Active",TRUE,"RC2","RO198","RAL28",TRUE
"RAN01","THE ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (STANMORE)","RAN",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAN02","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL (BOLSOVER STREET)","RAN",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAPNM","NORTH MIDDLESEX HOSPITAL","RAP",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAS01","HILLINGDON HOSPITAL","RAS",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RAX01","KINGSTON HOSPITAL","RAX",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBA11","MUSGROVE PARK HOSPITAL","RBA",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBA1E","SHEPTON MALLET TREATMENT CENTRE","RBA",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBD01","DORSET COUNTY HOSPITAL","RBD",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBK02","MANOR HOSPITAL","RBK",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBL03","A & E DEPARTMENT","RBL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBL14","ARROWE PARK HOSPITAL","RBL",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBN01","WHISTON HOSPITAL","RBN",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBN02","ST HELENS HOSPITAL","RBN",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBN51","SOUTHPORT AND FORMBY DISTRICT GENERAL HOSPITAL","RBN",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBN58","ROYAL LIVERPOOL UNIVERSITY HOSPITAL","RBN",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBQHQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS TRUST HQ","RBQ",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBS56",NA,"RBS",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"RBT20","LEIGHTON HOSPITAL","RBT",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBV01","THE CHRISTIE","RBV",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RBZ12","NORTH DEVON DISTRICT HOSPITAL","RBZ",TRUE,TRUE,"Inactive",TRUE,"RC2","RO198",NA,TRUE
"RC110","BEDFORD HOSPITAL SOUTH WING","RC1",TRUE,TRUE,"Active",TRUE,"RC2","RO198","EAA10",TRUE
"RC971","LUTON & DUNSTABLE HOSPITAL","RC9",TRUE,TRUE,"Active",TRUE,"RC2","RO198","EBA71",TRUE
"RC979","BEDFORD HOSPITAL SOUTH WING","RC9",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RCB01",NA,"RCB",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"RCB55","YORK HOSPITAL","RCB",TRUE,TRUE,"Active",TRUE,"RC2","RO198","BF155",TRUE
"RCBCA","SCARBOROUGH GENERAL HOSPITAL","RCB",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RCBL8","MALTON COMMUNITY HOSPITAL","RCB",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RCBNH","BRIDLINGTON AND DISTRICT HOSPITAL","RCB",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RCC25","SCARBOROUGH GENERAL HOSPITAL","RCC",TRUE,TRUE,"Active",TRUE,"RC2","RO198","BG125",TRUE
"RCD00","HARROGATE & DISTRICT NHS FOUNDATION TRUST","RCD",TRUE,TRUE,"Active",TRUE,"RC2","RO198","BH100",TRUE
"RCD01","HARROGATE DISTRICT HOSPITAL","RCD",TRUE,TRUE,"Active",TRUE,"RC2","RO198","RCD35",TRUE
"RCD20","LANCASTER PARK ROAD (SITE 1)","RCD",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RCD35","HARROGATE DISTRICT HOSPITAL","RCD",TRUE,FALSE,"Inactive",TRUE,"RC2","RO198",NA,TRUE
"RCD55","KINGSWOOD SURGERY","RCD",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RCF00","AIREDALE NHS TRUST","RCF",TRUE,TRUE,"Active",TRUE,"RC2","RO198","BK100",TRUE
"RCF22","AIREDALE GENERAL HOSPITAL","RCF",TRUE,TRUE,"Active",TRUE,"RC2","RO198","BK122",TRUE
"RCJ00",NA,"RCJ",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"RCX66","NORTH CAMBRIDGESHIRE HOSPITAL","RCX",TRUE,TRUE,"Active",TRUE,"RC2","RO198","DK166",TRUE
"RCX70","THE QUEEN ELIZABETH HOSPITAL","RCX",TRUE,TRUE,"Active",TRUE,"RC2","RO198","DK170",TRUE
"RD101",NA,"RD1",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"RD117","DEVIZES NHS TREATMENT CENTRE","RD1",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RD130","ROYAL UNITED HOSPITAL","RD1",TRUE,TRUE,"Active",TRUE,"RC2","RO198","JK130",TRUE
"RD300","POOLE GENERAL HOSPITAL","RD3",TRUE,TRUE,"Active",TRUE,"RC2","RO198","JA104",TRUE
"RD325","BREAST SCREENING - POOLE","RD3",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RD700","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS TRUST","RD7",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RD750","WEXHAM PARK HOSPITAL","RD7",TRUE,TRUE,"Active",TRUE,"RC2","RO198","KE150",TRUE
"RD768","THE PRINCESS MARGARET HOSPITAL","RD7",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RD816","MILTON KEYNES HOSPITAL","RD8",TRUE,TRUE,"Active",TRUE,"RC2","RO198","KM116",TRUE
"RDDH0","BASILDON UNIVERSITY HOSPITAL","RDD",TRUE,TRUE,"Active",TRUE,"RC2","RO198","FATH0",TRUE
"RDDH8","THE ESSEX CARDIOTHORACIC CENTRE","RDD",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDE03","IPSWICH HOSPITAL","RDE",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDEE4","COLCHESTER GENERAL HOSPITAL","RDE",TRUE,TRUE,"Active",TRUE,"RC2","RO198","FAHE4",TRUE
"RDR05","BRIGHTON GENERAL HOSPITAL","RDR",TRUE,TRUE,"Active",TRUE,"RC2","RO198","GA105",TRUE
"RDRRC","ROYAL SUSSEX COUNTY CLINIC","RDR",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDU01","FRIMLEY PARK HOSPITAL","RDU",TRUE,TRUE,"Active",TRUE,"RC2","RO198","HFP01",TRUE
"RDU18","DUNEDIN HOSPITAL","RDU",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDU50","WEXHAM PARK HOSPITAL","RDU",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDU52","HEATHERWOOD HOSPITAL","RDU",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDU53","KING EDWARD VII HOSPITAL","RDU",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDU67","SPIRE THAMES VALLEY HOSPITAL","RDU",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDZ00","ROYAL BOURNEMOUTH AND CHRISTCHURCH NHS TRUST","RDZ",TRUE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"RDZ20","ROYAL BOURNEMOUTH GENERAL HOSPITAL","RDZ",TRUE,TRUE,"Active",TRUE,"RC2","RO198","JA220",TRUE
"RE9GA","SOUTH TYNESIDE DISTRICT HOSPITAL","RE9",TRUE,TRUE,"Active",TRUE,"RC2","RO198","AR3GA",TRUE
"REF12","ROYAL CORNWALL HOSPITAL (TRELISKE)","REF",TRUE,TRUE,"Active",TRUE,"RC2","RO198","LD112",TRUE
